CustomerID,purchase_value,no_of_transaction,recent_transaction
12347.0,4310.0,182,1
12348.0,1797.24,31,3
12349.0,1757.55,73,1
12350.0,334.4,17,10
12352.0,2506.04,85,1
12353.0,89.0,4,7
12354.0,1079.4,58,8
12355.0,459.4,13,7
12356.0,2811.43,59,1
12357.0,6207.67,131,1
12358.0,1168.06,19,1
12359.0,6372.58,248,2
12360.0,2662.06,129,2
12361.0,189.9,10,10
12362.0,5226.23,266,1
12363.0,552.0,23,4
12364.0,1313.1,85,1
12365.0,641.38,22,10
12367.0,168.9,11,1
12370.0,3545.69,167,2
12371.0,1887.96,63,2
12372.0,1298.04,52,3
12373.0,364.6,14,10
12374.0,742.9300000000001,33,1
12375.0,457.5,17,1
12377.0,1628.12,77,11
12378.0,4008.62,219,4
12379.0,852.24,40,3
12380.0,2724.81,104,1
12381.0,1845.31,87,1
12383.0,1850.56,99,6
12384.0,585.27,27,1
12386.0,401.9,10,11
12388.0,2780.66,100,1
12390.0,549.84,32,3
12391.0,460.89,100,1
12393.0,1582.6,64,3
12394.0,1272.48,27,2
12395.0,3018.63,156,1
12397.0,2409.9,126,1
12398.0,1635.66,85,2
12399.0,1108.65,59,4
12401.0,84.3,5,10
12402.0,225.6,11,11
12403.0,427.7,5,2
12405.0,1710.39,54,5
12406.0,3415.3,105,1
12407.0,1708.12,77,2
12408.0,2888.55,105,1
12409.0,11072.67,109,3
12410.0,693.3299999999999,26,10
12412.0,1226.88,61,3
12413.0,758.1,38,2
12414.0,562.41,18,7
12417.0,3649.1,192,1
12418.0,668.58,34,4
12420.0,600.39,29,2
12421.0,807.04,45,1
12422.0,803.5600000000001,39,3
12423.0,1859.31,125,1
12424.0,1760.96,30,6
12425.0,777.2,36,3
12426.0,582.73,30,7
12427.0,825.8,31,1
12428.0,7956.46,294,1
12429.0,3750.4,97,1
12430.0,256.4,11,2
12431.0,6487.45,236,1
12432.0,5059.32,108,2
12433.0,13375.87,420,1
12434.0,806.14,50,3
12435.0,7829.89,36,3
12436.0,509.01,16,3
12437.0,4951.41,200,1
12438.0,2906.85,98,1
12441.0,173.55,11,12
12442.0,172.06,12,1
12444.0,5005.46,177,1
12445.0,133.4,4,1
12446.0,1002.31,58,2
12447.0,476.49,26,8
12448.0,449.45,22,2
12449.0,4067.29,191,1
12450.0,197.88,8,5
12451.0,9035.52,354,1
12452.0,430.57,22,1
12453.0,707.09,43,5
12454.0,3528.34,15,2
12455.0,2466.86,90,3
12456.0,3181.04,125,2
12457.0,2363.23,63,2
12458.0,947.4,38,3
12461.0,826.88,35,3
12462.0,1189.59,62,1
12463.0,1344.78,83,2
12464.0,1212.05,29,1
12465.0,742.1899999999999,47,1
12468.0,729.5400000000001,38,6
12471.0,19824.05,460,1
12472.0,6572.11,339,1
12473.0,3938.55,168,1
12474.0,7375.79,424,1
12475.0,723.38,36,2
12476.0,6816.42,233,1
12477.0,13219.74,300,1
12478.0,680.99,36,1
12479.0,527.2,31,1
12480.0,3281.63,154,1
12481.0,5596.32,217,1
12483.0,2484.98,75,1
12484.0,4541.72,346,1
12488.0,1298.66,55,1
12489.0,334.93,15,11
12490.0,5417.93,245,1
12491.0,460.4,26,1
12492.0,263.21000000000004,20,2
12493.0,433.74,22,6
12494.0,1246.1,77,1
12497.0,1043.1,14,3
12498.0,403.7000000000001,23,1
12500.0,4257.82,61,1
12501.0,2169.39,149,11
12502.0,3723.87,147,3
12504.0,482.05,9,1
12506.0,73.5,23,8
12507.0,1304.81,22,5
12508.0,398.27,69,1
12509.0,176.5,7,10
12510.0,982.57,33,5
12512.0,138.03,34,2
12513.0,612.29,35,4
12514.0,1017.68,51,9
12515.0,383.7,16,12
12516.0,1312.06,26,3
12517.0,2502.84,284,1
12518.0,2056.89,124,1
12519.0,340.84,18,2
12520.0,2634.26,152,3
12521.0,599.68,38,5
12522.0,192.72,12,2
12523.0,1789.77,106,1
12524.0,4485.72,144,1
12526.0,1316.66,71,1
12527.0,348.71000000000004,18,3
12528.0,1933.48,92,1
12530.0,1662.28,66,2
12531.0,125.22,17,1
12532.0,349.83000000000004,16,1
12534.0,1089.18,63,4
12535.0,716.35,34,3
12536.0,12601.830000000002,261,2
12538.0,363.95,21,1
12539.0,5568.35,273,1
12540.0,13400.24,478,1
12541.0,981.18,52,1
12544.0,372.7,19,1
12545.0,1000.39,50,3
12546.0,1161.5,69,2
12547.0,207.8,8,7
12548.0,95.2,5,6
12550.0,964.83,57,3
12551.0,168.0,10,12
12552.0,437.82,20,1
12553.0,3692.28,191,1
12556.0,603.71,121,2
12557.0,11990.96,33,1
12558.0,269.96,11,1
12559.0,561.71,21,10
12560.0,2134.01,105,1
12561.0,238.85,16,10
12562.0,3781.74,168,1
12564.0,456.9,21,9
12565.0,145.92,9,10
12566.0,351.65,19,3
12567.0,9401.28,446,1
12569.0,4124.69,188,1
12571.0,519.61,34,2
12572.0,1020.42,60,1
12573.0,160.54000000000002,28,8
12574.0,218.45,11,11
12576.0,1315.83,88,1
12577.0,657.8,147,1
12578.0,2794.51,114,1
12579.0,440.42,29,3
12580.0,415.7,24,8
12581.0,197.71,15,2
12582.0,511.36,22,8
12583.0,7281.38,247,1
12584.0,2338.15,96,1
12585.0,2040.1,87,8
12586.0,196.94000000000003,11,1
12587.0,144.0,4,1
12588.0,214.9,10,2
12589.0,646.68,35,1
12590.0,9864.26,68,7
12591.0,452.85,26,11
12592.0,437.6,18,3
12593.0,418.1,21,4
12594.0,3338.2200000000003,118,1
12596.0,618.27,27,2
12597.0,3811.22,206,1
12598.0,3023.08,132,1
12599.0,1032.58,62,1
12600.0,2599.04,64,1
12601.0,577.0600000000001,28,6
12602.0,153.12,12,2
12603.0,739.1999999999999,3,1
12604.0,254.18,16,3
12607.0,1579.51,101,2
12609.0,1126.85,60,3
12610.0,2099.54,106,1
12611.0,1193.32,65,2
12612.0,704.0400000000001,19,3
12613.0,3344.38,153,2
12614.0,315.6,20,9
12615.0,2291.19,105,1
12616.0,713.3,32,3
12617.0,355.53,42,1
12618.0,177.31,11,1
12619.0,3641.24,90,1
12620.0,1339.41,92,1
12621.0,13689.67,467,1
12622.0,180.1,11,8
12623.0,305.1,18,9
12624.0,641.13,38,4
12625.0,2683.82,86,7
12626.0,6620.48,294,1
12627.0,4478.53,230,1
12628.0,786.46,41,1
12630.0,1270.88,64,1
12631.0,640.5,31,2
12633.0,2163.98,101,2
12635.0,1689.18,101,3
12637.0,6021.9,390,2
12638.0,671.69,39,1
12639.0,486.1,22,8
12640.0,1174.58,53,1
12641.0,185.9,10,4
12642.0,1013.26,47,1
12643.0,3344.64,24,4
12644.0,477.91,31,4
12645.0,1775.18,73,1
12646.0,1346.97,45,1
12647.0,3722.82,122,1
12648.0,318.05,21,5
12649.0,623.51,31,4
12650.0,314.44,20,1
12651.0,114.0,9,11
12652.0,919.98,48,11
12653.0,2209.85,43,5
12654.0,601.98,38,1
12656.0,4051.17,126,1
12657.0,1643.18,47,1
12658.0,686.05,36,1
12659.0,91.68,5,1
12660.0,245.1,13,1
12662.0,3849.78,230,1
12664.0,4881.88,37,1
12665.0,63.0,3,11
12667.0,620.13,33,2
12668.0,3807.15,161,1
12669.0,2744.03,101,5
12670.0,2996.05,92,1
12672.0,225.9,10,11
12673.0,610.52,42,1
12674.0,1970.6,83,1
12676.0,1331.39,45,1
12678.0,17628.46,165,2
12679.0,1113.02,48,2
12680.0,862.81,52,1
12681.0,13787.54,638,1
12682.0,12288.22,525,1
12683.0,8476.57,344,1
12684.0,2283.63,105,1
12685.0,2863.08,157,1
12686.0,89.14,7,12
12688.0,4873.81,171,4
12689.0,1247.61,72,1
12690.0,389.01,16,7
12691.0,1035.8,32,1
12693.0,855.91,39,4
12694.0,869.67,37,3
12695.0,582.1,27,1
12697.0,957.59,41,1
12700.0,4939.99,268,1
12701.0,797.71,53,3
12702.0,219.0,12,1
12703.0,283.55,21,3
12704.0,2340.84,88,1
12705.0,6868.29,334,1
12707.0,603.42,33,10
12708.0,2712.91,157,1
12709.0,9736.52,208,1
12710.0,1149.02,77,3
12712.0,4396.13,133,1
12713.0,848.55,38,1
12714.0,4708.86,259,1
12715.0,353.86,21,4
12716.0,1053.49,69,1
12717.0,1030.98,55,5
12718.0,238.25,19,3
12719.0,644.95,39,1
12720.0,5781.73,354,1
12721.0,2656.13,161,1
12722.0,997.63,53,3
12723.0,725.07,69,1
12724.0,1031.41,53,1
12725.0,427.8,24,12
12726.0,2609.1,124,1
12727.0,3980.7,139,1
12728.0,836.33,46,3
12729.0,453.01,26,4
12731.0,18895.91,274,1
12732.0,236.26,12,6
12733.0,383.95,22,8
12734.0,110.4,4,12
12735.0,779.5699999999999,43,11
12736.0,234.0,4,11
12738.0,155.35,11,12
12739.0,1013.04,38,3
12740.0,427.6,27,2
12743.0,546.43,134,5
12744.0,21279.29,222,2
12747.0,4196.01,103,1
12749.0,4090.88,199,1
12750.0,275.88,15,4
12752.0,4366.78,53,3
12753.0,21429.39,197,1
12754.0,3010.74,63,8
12755.0,3811.95,4,9
12756.0,112.07999999999998,4,3
12757.0,7857.1,371,1
12758.0,2791.59,97,4
12759.0,1531.44,95,2
12762.0,1898.52,69,1
12763.0,494.08,18,5
12764.0,1693.88,45,11
12766.0,6989.63,310,1
12769.0,1143.6,32,8
12770.0,1351.45,12,7
12772.0,892.47,55,2
12775.0,1386.04,66,1
12778.0,822.23,50,1
12779.0,3981.36,149,1
12781.0,826.74,25,2
12782.0,2330.92,103,1
12783.0,2225.91,84,1
12784.0,574.42,59,1
12785.0,311.95,14,12
12787.0,463.66,20,1
12789.0,91.85,4,2
12790.0,324.92,21,7
12791.0,192.6,2,12
12792.0,400.54,25,9
12793.0,545.48,24,11
12794.0,860.41,45,2
12795.0,430.48,14,1
12797.0,254.03,13,12
12798.0,6977.04,8,1
12802.0,427.58,25,6
12808.0,483.65,28,1
12809.0,489.31,25,6
12811.0,514.85,31,9
12812.0,229.64,15,2
12814.0,125.92,2,4
12815.0,1063.46,47,5
12816.0,572.2,29,3
12817.0,166.04,4,9
12818.0,1542.08,14,9
12820.0,942.34,59,1
12821.0,92.72,6,7
12822.0,948.88,46,3
12823.0,1759.5,5,3
12824.0,397.12,25,2
12826.0,1474.72,91,1
12827.0,430.15,25,1
12828.0,1018.71,56,1
12829.0,293.0,11,11
12830.0,6814.64,38,1
12831.0,215.05,9,9
12832.0,383.03,27,1
12833.0,417.38,24,5
12834.0,312.38,18,9
12836.0,2612.86,175,2
12837.0,134.1,12,6
12838.0,683.13,123,1
12839.0,5591.42,314,1
12840.0,2726.77,113,5
12841.0,4022.35,420,1
12842.0,1118.99,34,3
12843.0,1702.26,103,2
12844.0,325.96000000000004,52,1
12845.0,354.09,27,9
12847.0,871.54,91,1
12849.0,1050.89,51,1
12851.0,135.18,50,3
12852.0,311.55,17,10
12853.0,1957.1,78,5
12854.0,1324.5,110,3
12855.0,38.1,3,12
12856.0,2179.93,314,1
12857.0,1106.4,46,7
12863.0,521.2,5,2
12864.0,147.12,3,5
12865.0,1568.23,95,1
12866.0,559.12,26,9
12867.0,4036.82,538,1
12868.0,1607.0600000000002,107,6
12871.0,380.64,11,3
12872.0,599.97,66,11
12873.0,374.0,4,9
12875.0,343.2300000000001,2,5
12876.0,2218.02,85,2
12877.0,1535.77,154,1
12878.0,854.99,47,8
12879.0,573.22,10,2
12881.0,298.0,7,9
12882.0,1463.04,13,1
12883.0,703.47,42,1
12884.0,309.05,7,3
12885.0,1175.22,71,2
12886.0,1378.4,82,2
12888.0,354.12,5,7
12890.0,380.47,82,1
12891.0,331.0,3,6
12893.0,188.14,34,1
12895.0,372.8,22,2
12897.0,216.5,4,7
12901.0,17654.54,116,1
12902.0,138.68,10,9
12904.0,509.58,72,1
12906.0,2919.81,63,1
12908.0,750.0,2,6
12909.0,2178.67,91,2
12910.0,3075.04,75,1
12912.0,1662.3,24,1
12913.0,2483.63,50,1
12915.0,363.65,22,5
12916.0,3006.15,107,5
12917.0,594.0,2,4
12919.0,1335.19,50,1
12920.0,164.23,28,1
12921.0,16587.09,720,1
12922.0,405.38,28,5
12923.0,176.97,29,2
12924.0,933.7,30,3
12925.0,694.05,45,1
12928.0,2062.7000000000003,84,1
12929.0,117.85,8,10
12930.0,415.8,25,3
12933.0,607.53,106,1
12935.0,2160.7,129,1
12936.0,1063.9,62,1
12937.0,1504.27,120,1
12938.0,114.14,9,1
12939.0,11581.8,47,2
12940.0,913.54,99,2
12942.0,683.9,75,5
12944.0,604.51,30,1
12945.0,462.95,23,10
12947.0,1603.99,97,5
12948.0,2064.95,116,1
12949.0,4167.22,215,1
12950.0,1843.0,23,1
12951.0,1064.07,63,1
12952.0,1387.79,79,1
12953.0,329.85,17,1
12955.0,4757.16,180,1
12956.0,108.07,19,10
12957.0,4017.54,238,1
12962.0,266.39,16,1
12963.0,1856.63,95,1
12965.0,771.91,109,3
12966.0,160.18,10,1
12967.0,1660.9,19,12
12968.0,135.95,5,4
12970.0,452.24,151,1
12971.0,11189.91,305,1
