CustomerID,purchase_value,no_of_transaction,recent_transaction
12346.0,77183.6,0,
12347.0,4310.0,0,
12348.0,1797.24,0,
12349.0,1757.55,0,
12350.0,334.4,0,
12352.0,2506.04,0,
12353.0,89.0,0,
12354.0,1079.4,0,
12355.0,459.4,0,
12356.0,2811.43,0,
12357.0,6207.67,0,
12358.0,1168.06,0,
12359.0,6372.58,0,
12360.0,2662.06,0,
12361.0,189.9,0,
12362.0,5226.23,0,
12363.0,552.0,0,
12364.0,1313.1,0,
12365.0,641.38,0,
12367.0,168.9,0,
12370.0,3545.69,0,
12371.0,1887.96,0,
12372.0,1298.04,0,
12373.0,364.6,0,
12374.0,742.9300000000001,0,
12375.0,457.5,0,
12377.0,1628.12,0,
12378.0,4008.62,0,
12379.0,852.24,0,
12380.0,2724.81,0,
12381.0,1845.31,0,
12383.0,1850.56,0,
12384.0,585.27,0,
12386.0,401.9,0,
12388.0,2780.66,0,
12390.0,549.84,0,
12391.0,460.89,0,
12393.0,1582.6000000000001,0,
12394.0,1272.48,0,
12395.0,3018.63,12,1
12397.0,2409.9,0,
12398.0,1635.6599999999999,0,
12399.0,1108.65,0,
12401.0,84.3,0,
12402.0,225.6,0,
12403.0,427.7,0,
12405.0,1710.39,0,
12406.0,3415.3,0,
12407.0,1708.1200000000001,0,
12408.0,2888.55,0,
12409.0,11072.67,0,
12410.0,693.3299999999999,0,
12412.0,1226.88,0,
12413.0,758.1,0,
12414.0,562.41,0,
12415.0,124914.53,0,
12417.0,3649.1,0,
12418.0,668.58,0,
12420.0,600.39,0,
12421.0,807.04,0,
12422.0,803.5600000000001,0,
12423.0,1859.31,0,
12424.0,1760.96,0,
12425.0,777.2,0,
12426.0,582.73,0,
12427.0,825.8,10,1
12428.0,7956.46,0,
12429.0,3750.4,0,
12430.0,256.4,0,
12431.0,6487.45,14,2
12432.0,5059.32,0,
12433.0,13375.87,73,2
12434.0,806.14,0,
12435.0,7829.89,0,
12436.0,509.01,0,
12437.0,4951.41,0,
12438.0,2906.85,0,
12441.0,173.55,0,
12442.0,172.06,0,
12444.0,5005.46,0,
12445.0,133.4,0,
12446.0,1002.3100000000001,0,
12447.0,476.49,0,
12448.0,449.45,0,
12449.0,4067.29,0,
12450.0,197.88,0,
12451.0,9035.52,0,
12452.0,430.57,0,
12453.0,707.09,0,
12454.0,3528.34,0,
12455.0,2466.86,0,
12456.0,3181.04,0,
12457.0,2363.23,0,
12458.0,947.4,0,
12461.0,826.88,0,
12462.0,1189.59,0,
12463.0,1344.78,0,
12464.0,1212.05,0,
12465.0,742.1899999999999,0,
12468.0,729.5400000000001,0,
12471.0,19824.05,0,
12472.0,6572.11,70,1
12473.0,3938.5499999999997,0,
12474.0,7375.79,0,
12475.0,723.38,0,
12476.0,6816.42,0,
12477.0,13219.74,0,
12478.0,680.99,0,
12479.0,527.2,0,
12480.0,3281.63,0,
12481.0,5596.32,0,
12483.0,2484.98,0,
12484.0,4541.72,0,
12488.0,1298.66,0,
12489.0,334.93,0,
12490.0,5417.93,0,
12491.0,460.40000000000003,0,
12492.0,263.21000000000004,0,
12493.0,433.74,0,
12494.0,1246.1000000000001,0,
12497.0,1043.1,0,
12498.0,403.70000000000005,0,
12500.0,4257.82,0,
12501.0,2169.39,0,
12502.0,3723.87,0,
12504.0,482.04999999999995,0,
12506.0,73.5,0,
12507.0,1304.81,0,
12508.0,398.27,0,
12509.0,176.5,0,
12510.0,982.5699999999999,0,
12512.0,138.03,0,
12513.0,612.29,0,
12514.0,1017.68,0,
12515.0,383.7,0,
12516.0,1312.06,0,
12517.0,2502.84,0,
12518.0,2056.89,0,
12519.0,340.84,0,
12520.0,2634.26,0,
12521.0,599.68,0,
12522.0,192.72,0,
12523.0,1789.77,0,
12524.0,4485.72,0,
12526.0,1316.66,0,
12527.0,348.71000000000004,0,
12528.0,1933.48,0,
12530.0,1662.28,0,
